,id,label,label_index
0,9350,Ford F-150 Regular Cab 2007,108
1,2645,BMW X6 SUV 2012,36
2,2267,BMW 1 Series Coupe 2012,26
3,8553,Fisker Karma Sedan 2012,104
4,6990,Dodge Ram Pickup 3500 Crew Cab 2010,94
5,7368,Dodge Dakota Crew Cab 2010,89
6,5765,Chevrolet Monte Carlo Coupe 2007,65
7,833,Aston Martin Virage Coupe 2012,10
8,12869,MINI Cooper Roadster Convertible 2012,156
9,1798,Audi S5 Coupe 2012,19
10,5705,Chevrolet Express Van 2007,60
11,7416,Dodge Dakota Club Cab 2007,88
12,7116,Dodge Ram Pickup 3500 Quad Cab 2009,95
13,13832,Nissan Leaf Hatchback 2012,169
14,16015,Volvo 240 Sedan 1993,192
15,9313,Ford F-150 Regular Cab 2007,108
16,5059,Chevrolet Sonic Sedan 2012,71
17,8780,Ford Freestar Minivan 2007,113
18,10109,Geo Metro Convertible 1993,122
19,12083,Jeep Liberty SUV 2012,146
20,8698,Ford Mustang Convertible 2007,115
21,8537,Fisker Karma Sedan 2012,104
22,12599,Lamborghini Diablo Coupe 2001,150
23,12686,Land Rover Range Rover SUV 2012,154
24,9445,Ford Focus Sedan 2007,112
25,10942,Hyundai Veracruz SUV 2012,139
26,2009,Audi TT RS Coupe 2012,22
27,577,Aston Martin V8 Vantage Convertible 2012,7
28,9056,Ford Ranger SuperCab 2011,116
29,12512,Lamborghini Gallardo LP 570-4 Superleggera 2012,151
30,1791,Audi S5 Coupe 2012,19
31,6720,Dodge Caliber Wagon 2012,83
32,3957,Buick Verano Sedan 2012,49
33,8414,Ferrari 458 Italia Convertible 2012,100
34,9760,GMC Savana Van 2012,119
35,15315,Toyota Sequoia SUV 2012,188
36,5457,Chevrolet TrailBlazer SS 2009,73
37,3100,BMW Z4 Convertible 2012,37
38,13235,Mercedes-Benz 300-Class Convertible 1993,160
39,5679,Chevrolet Silverado 1500 Classic Extended Cab 2007,66
40,2852,BMW M5 Sedan 2010,32
41,5709,Chevrolet Express Van 2007,60
42,14947,Suzuki Kizashi Sedan 2012,181
43,6589,Chrysler PT Cruiser Convertible 2008,78
44,10094,GMC Savana Van 2012,119
45,950,Audi RS 4 Convertible 2008,15
46,11605,Infiniti G Coupe IPL 2012,140
47,9812,GMC Yukon Hybrid SUV 2012,121
48,12803,Lincoln Town Car Sedan 2011,155
49,7431,Dodge Dakota Club Cab 2007,88
50,14209,Porsche Panamera Sedan 2012,172
51,4230,Cadillac Escalade EXT Crew Cab 2007,51
52,11109,Hyundai Elantra Sedan 2007,131
53,3263,Bentley Mulsanne Sedan 2011,43
54,14333,Ram C/V Cargo Van Minivan 2012,173
55,12610,Land Rover Range Rover SUV 2012,154
56,7067,Dodge Ram Pickup 3500 Quad Cab 2009,95
57,11416,Hyundai Elantra Touring Hatchback 2012,132
58,11115,Hyundai Elantra Sedan 2007,131
59,4849,Chevrolet HHR SS 2010,61
60,5684,Chevrolet Express Van 2007,60
61,9020,Ford Edge SUV 2012,106
62,8762,Ford Freestar Minivan 2007,113
63,12378,Lamborghini Aventador Coupe 2012,149
64,12399,Lamborghini Aventador Coupe 2012,149
65,7411,Dodge Dakota Club Cab 2007,88
66,5292,Chevrolet Cobalt SS 2010,55
67,8705,Ford Mustang Convertible 2007,115
68,3127,Bentley Continental Supersports Conv. Convertible 2012,42
69,1,AM General Hummer SUV 2000,0
70,12514,Lamborghini Gallardo LP 570-4 Superleggera 2012,151
71,6987,Dodge Ram Pickup 3500 Crew Cab 2010,94
72,1604,Audi S6 Sedan 2011,20
73,11402,Hyundai Elantra Touring Hatchback 2012,132
74,9197,Ford GT Coupe 2006,114
75,9159,Ford GT Coupe 2006,114
76,9651,GMC Terrain SUV 2012,120
77,16143,smart fortwo Convertible 2012,195
78,7611,Dodge Challenger SRT8 2011,85
79,13644,Mercedes-Benz Sprinter Van 2012,165
80,5682,Chevrolet Express Van 2007,60
81,14815,Spyker C8 Coupe 2009,179
82,5048,Chevrolet Sonic Sedan 2012,71
83,13824,Nissan Leaf Hatchback 2012,169
84,665,Aston Martin V8 Vantage Coupe 2012,8
85,12968,Maybach Landaulet Convertible 2012,157
86,5570,Chevrolet Silverado 2500HD Regular Cab 2012,70
87,8380,Ferrari 458 Italia Convertible 2012,100
88,15503,Toyota 4Runner SUV 2012,185
89,4368,Chevrolet Silverado 1500 Hybrid Crew Cab 2012,68
90,14140,Plymouth Neon Coupe 1999,171
91,5540,Chevrolet Silverado 2500HD Regular Cab 2012,70
92,8546,Fisker Karma Sedan 2012,104
93,6018,Chevrolet Silverado 1500 Regular Cab 2012,69
94,4225,Cadillac Escalade EXT Crew Cab 2007,51
95,8663,Ford F-450 Super Duty Crew Cab 2012,110
96,10496,Honda Odyssey Minivan 2007,127
97,2356,BMW 3 Series Sedan 2012,27
98,3423,Bentley Continental GT Coupe 2007,40
99,16148,smart fortwo Convertible 2012,195
100,10767,Hyundai Santa Fe SUV 2012,134
101,9578,Ford Fiesta Sedan 2012,111
102,9279,Ford F-150 Regular Cab 2012,109
103,10063,GMC Savana Van 2012,119
104,4750,Chevrolet Camaro Convertible 2012,54
105,3008,BMW X3 SUV 2012,34
106,447,Acura Integra Type R 2001,1
107,2572,BMW X5 SUV 2007,35
108,4904,Chevrolet Impala Sedan 2007,62
109,9645,GMC Terrain SUV 2012,120
110,12985,Maybach Landaulet Convertible 2012,157
111,5095,Chevrolet Sonic Sedan 2012,71
112,3341,Bentley Continental GT Coupe 2012,41
113,8626,Ford F-450 Super Duty Crew Cab 2012,110
114,13517,Mercedes-Benz S-Class Sedan 2012,163
115,4118,Cadillac CTS-V Sedan 2012,50
116,6826,Dodge Caliber Wagon 2007,82
117,5070,Chevrolet Sonic Sedan 2012,71
118,1658,Audi S5 Convertible 2012,18
119,13557,Mercedes-Benz S-Class Sedan 2012,163
120,10066,GMC Savana Van 2012,119
121,12045,Jeep Liberty SUV 2012,146
122,6260,Chrysler Sebring Convertible 2010,79
123,6274,Chrysler Town and Country Minivan 2012,80
124,12130,Jeep Grand Cherokee SUV 2012,145
125,14550,Rolls-Royce Phantom Sedan 2012,176
126,8630,Ford F-450 Super Duty Crew Cab 2012,110
127,6944,Dodge Caravan Minivan 1997,84
128,15677,Volkswagen Golf Hatchback 1991,190
129,12855,MINI Cooper Roadster Convertible 2012,156
130,3476,Bentley Continental GT Coupe 2007,40
131,695,Aston Martin V8 Vantage Coupe 2012,8
132,14311,Ram C/V Cargo Van Minivan 2012,173
133,10547,Honda Accord Coupe 2012,125
134,1991,Audi TT RS Coupe 2012,22
135,9881,GMC Acadia SUV 2012,117
136,15203,Tesla Model S Sedan 2012,184
137,768,Aston Martin Virage Convertible 2012,9
138,9468,Ford E-Series Wagon Van 2012,105
139,2900,BMW M6 Convertible 2010,33
140,8291,Ferrari California Convertible 2012,102
141,8811,Ford Freestar Minivan 2007,113
142,8296,Ferrari California Convertible 2012,102
143,8600,Ford F-450 Super Duty Crew Cab 2012,110
144,7648,Dodge Durango SUV 2012,91
145,6037,Chevrolet Silverado 1500 Regular Cab 2012,69
146,9465,Ford E-Series Wagon Van 2012,105
147,4690,Chevrolet Traverse SUV 2012,74
148,14631,Scion xD Hatchback 2012,177
149,10422,Honda Odyssey Minivan 2012,128
150,10030,GMC Savana Van 2012,119
151,12301,Lamborghini Reventon Coupe 2008,152
152,8160,FIAT 500 Convertible 2012,99
153,4403,Chevrolet Corvette Convertible 2012,56
154,3006,BMW X3 SUV 2012,34
155,7251,Dodge Journey SUV 2012,92
156,9017,Ford Edge SUV 2012,106
157,6607,Chrysler PT Cruiser Convertible 2008,78
158,8267,Ferrari California Convertible 2012,102
159,5574,Chevrolet Silverado 2500HD Regular Cab 2012,70
160,2559,BMW X5 SUV 2007,35
161,14882,Suzuki Aerio Sedan 2007,180
162,3320,Bentley Mulsanne Sedan 2011,43
163,11160,Hyundai Elantra Sedan 2007,131
164,2366,BMW 3 Series Wagon 2012,28
165,8076,FIAT 500 Abarth 2012,98
166,7571,Dodge Challenger SRT8 2011,85
167,12270,Jeep Compass SUV 2012,144
168,6163,Chrysler Aspen SUV 2009,76
169,1679,Audi S5 Convertible 2012,18
170,5858,Chevrolet Malibu Sedan 2007,64
171,13841,Nissan Leaf Hatchback 2012,169
172,916,Audi RS 4 Convertible 2008,15
173,6885,Dodge Caravan Minivan 1997,84
174,5676,Chevrolet Silverado 1500 Classic Extended Cab 2007,66
175,1481,Audi TT Hatchback 2011,21
176,7315,Dodge Dakota Crew Cab 2010,89
177,3887,Buick Rainier SUV 2007,47
178,15453,Toyota Corolla Sedan 2012,187
179,2897,BMW M6 Convertible 2010,33
180,1831,Audi S4 Sedan 2012,17
181,3537,Bentley Continental Flying Spur Sedan 2007,39
182,9972,GMC Canyon Extended Cab 2012,118
183,2207,BMW 1 Series Coupe 2012,26
184,6324,Chrysler Town and Country Minivan 2012,80
185,12196,Jeep Grand Cherokee SUV 2012,145
186,62,AM General Hummer SUV 2000,0
187,9220,Ford F-150 Regular Cab 2012,109
188,1221,Audi V8 Sedan 1994,24
189,6054,Chevrolet Silverado 1500 Regular Cab 2012,69
190,14907,Suzuki Aerio Sedan 2007,180
191,16137,smart fortwo Convertible 2012,195
192,3197,Bentley Arnage Sedan 2009,38
193,15383,Toyota Camry Sedan 2012,186
194,7866,Dodge Charger Sedan 2012,87
195,10056,GMC Savana Van 2012,119
196,3119,Bentley Continental Supersports Conv. Convertible 2012,42
197,6994,Dodge Ram Pickup 3500 Crew Cab 2010,94
198,15917,Volvo C30 Hatchback 2012,193
199,4661,Chevrolet Traverse SUV 2012,74
200,16092,Volvo XC90 SUV 2007,194
201,4408,Chevrolet Corvette Convertible 2012,56
202,9587,Ford Fiesta Sedan 2012,111
203,2155,BMW 1 Series Convertible 2012,25
204,14502,Rolls-Royce Phantom Sedan 2012,176
205,14691,Spyker C8 Convertible 2009,178
206,3221,Bentley Arnage Sedan 2009,38
207,9576,Ford Fiesta Sedan 2012,111
208,8550,Fisker Karma Sedan 2012,104
209,3859,Buick Rainier SUV 2007,47
210,14730,Spyker C8 Convertible 2009,178
211,3819,Buick Rainier SUV 2007,47
212,12990,Mazda Tribute SUV 2011,158
213,12177,Jeep Grand Cherokee SUV 2012,145
214,14146,Plymouth Neon Coupe 1999,171
215,8828,Ford Freestar Minivan 2007,113
216,5488,Chevrolet TrailBlazer SS 2009,73
217,7667,Dodge Durango SUV 2012,91
218,10682,Hyundai Veloster Hatchback 2012,138
219,8472,Ferrari 458 Italia Coupe 2012,101
220,3751,Buick Regal GS 2012,48
221,881,Aston Martin Virage Coupe 2012,10
222,12323,Lamborghini Reventon Coupe 2008,152
223,11755,Isuzu Ascender SUV 2008,142
224,8712,Ford Mustang Convertible 2007,115
225,1633,Audi S6 Sedan 2011,20
226,13195,Mercedes-Benz 300-Class Convertible 1993,160
227,6159,Chrysler Aspen SUV 2009,76
228,7103,Dodge Ram Pickup 3500 Quad Cab 2009,95
229,5621,Chevrolet Silverado 1500 Classic Extended Cab 2007,66
230,12241,Jeep Compass SUV 2012,144
231,5325,Chevrolet Cobalt SS 2010,55
232,1274,Audi V8 Sedan 1994,24
233,5611,Chevrolet Silverado 1500 Classic Extended Cab 2007,66
234,10658,Honda Accord Sedan 2012,126
235,5630,Chevrolet Silverado 1500 Classic Extended Cab 2007,66
236,6522,Chrysler Crossfire Convertible 2008,77
237,346,Acura TSX Sedan 2012,5
238,7777,Dodge Durango SUV 2007,90
239,2136,BMW 1 Series Convertible 2012,25
240,2362,BMW 3 Series Wagon 2012,28
241,6964,Dodge Ram Pickup 3500 Crew Cab 2010,94
242,7619,Dodge Durango SUV 2012,91
243,394,Acura TSX Sedan 2012,5
244,12519,Lamborghini Diablo Coupe 2001,150
245,9974,GMC Canyon Extended Cab 2012,118
246,8618,Ford F-450 Super Duty Crew Cab 2012,110
247,13889,Nissan NV Passenger Van 2012,170
248,15603,Volkswagen Golf Hatchback 2012,191
249,9514,Ford E-Series Wagon Van 2012,105
250,4474,Chevrolet Corvette ZR1 2012,58
251,15687,Volkswagen Golf Hatchback 1991,190
252,15705,Volkswagen Golf Hatchback 1991,190
253,15185,Tesla Model S Sedan 2012,184
254,12521,Lamborghini Diablo Coupe 2001,150
255,15156,Suzuki SX4 Sedan 2012,183
256,13965,Nissan Juke Hatchback 2012,168
257,602,Aston Martin V8 Vantage Convertible 2012,7
258,3467,Bentley Continental GT Coupe 2007,40
259,305,Acura TL Type-S 2008,4
260,13888,Nissan NV Passenger Van 2012,170
261,2693,BMW X6 SUV 2012,36
262,7696,Dodge Durango SUV 2012,91
263,7111,Dodge Ram Pickup 3500 Quad Cab 2009,95
264,9424,Ford Focus Sedan 2007,112
265,7905,Dodge Charger SRT-8 2009,86
266,10249,HUMMER H3T Crew Cab 2010,124
267,5647,Chevrolet Silverado 1500 Classic Extended Cab 2007,66
268,13605,Mercedes-Benz Sprinter Van 2012,165
269,10800,Hyundai Santa Fe SUV 2012,134
270,10625,Honda Accord Sedan 2012,126
271,10379,Honda Odyssey Minivan 2012,128
272,1700,Audi S5 Convertible 2012,18
273,11833,Jaguar XK XKR 2012,143
274,10562,Honda Accord Coupe 2012,125
275,15574,Toyota 4Runner SUV 2012,185
276,11685,Isuzu Ascender SUV 2008,142
277,13742,Mitsubishi Lancer Sedan 2012,166
278,14664,Scion xD Hatchback 2012,177
279,6128,Chrysler Aspen SUV 2009,76
280,15748,Volkswagen Golf Hatchback 1991,190
281,16136,smart fortwo Convertible 2012,195
282,8850,Ford Expedition EL SUV 2009,107
283,15746,Volkswagen Golf Hatchback 1991,190
284,194,Acura TL Sedan 2012,3
285,1485,Audi TT Hatchback 2011,21
286,11671,Infiniti QX56 SUV 2011,141
287,8013,Eagle Talon Hatchback 1998,97
288,147,Acura RL Sedan 2012,2
289,9914,GMC Acadia SUV 2012,117
290,74,AM General Hummer SUV 2000,0
291,7348,Dodge Dakota Crew Cab 2010,89
292,12335,Lamborghini Reventon Coupe 2008,152
293,9038,Ford Ranger SuperCab 2011,116
294,12881,MINI Cooper Roadster Convertible 2012,156
295,15706,Volkswagen Golf Hatchback 1991,190
296,12744,Land Rover LR2 SUV 2012,153
297,11583,Infiniti G Coupe IPL 2012,140
298,11670,Infiniti QX56 SUV 2011,141
299,3349,Bentley Continental GT Coupe 2012,41
300,8501,Ferrari 458 Italia Coupe 2012,101
301,6226,Chrysler Sebring Convertible 2010,79
302,13617,Mercedes-Benz Sprinter Van 2012,165
303,4999,Chevrolet Tahoe Hybrid SUV 2012,72
304,4666,Chevrolet Traverse SUV 2012,74
305,4183,Cadillac SRX SUV 2012,52
306,14486,Rolls-Royce Ghost Sedan 2012,174
307,13880,Nissan NV Passenger Van 2012,170
308,11590,Infiniti G Coupe IPL 2012,140
309,9704,GMC Terrain SUV 2012,120
310,11816,Jaguar XK XKR 2012,143
311,2357,BMW 3 Series Sedan 2012,27
312,11677,Isuzu Ascender SUV 2008,142
313,15573,Toyota 4Runner SUV 2012,185
314,12845,Lincoln Town Car Sedan 2011,155
315,12651,Land Rover Range Rover SUV 2012,154
316,14500,Rolls-Royce Phantom Sedan 2012,176
317,1790,Audi S5 Coupe 2012,19
318,1901,Audi S4 Sedan 2007,16
319,5131,Chevrolet Express Cargo Van 2007,59
320,11203,Hyundai Accent Sedan 2012,129
321,4020,Buick Enclave SUV 2012,46
322,4694,Chevrolet Traverse SUV 2012,74
323,6860,Dodge Caliber Wagon 2007,82
324,14776,Spyker C8 Coupe 2009,179
325,5193,Chevrolet Avalanche Crew Cab 2012,53
326,13848,Nissan NV Passenger Van 2012,170
327,2786,BMW M3 Coupe 2012,31
328,4437,Chevrolet Corvette Convertible 2012,56
329,13188,Mercedes-Benz 300-Class Convertible 1993,160
330,8589,Fisker Karma Sedan 2012,104
331,11284,Hyundai Genesis Sedan 2012,133
332,6729,Dodge Caliber Wagon 2012,83
333,870,Aston Martin Virage Coupe 2012,10
334,5950,Chevrolet Silverado 1500 Extended Cab 2012,67
335,6567,Chrysler PT Cruiser Convertible 2008,78
336,6193,Chrysler Sebring Convertible 2010,79
337,11697,Isuzu Ascender SUV 2008,142
338,12554,Lamborghini Diablo Coupe 2001,150
339,4134,Cadillac SRX SUV 2012,52
340,14445,Rolls-Royce Ghost Sedan 2012,174
341,3729,Bugatti Veyron 16.4 Coupe 2009,45
342,5723,Chevrolet Express Van 2007,60
343,14628,Scion xD Hatchback 2012,177
344,5833,Chevrolet Monte Carlo Coupe 2007,65
345,7305,Dodge Dakota Crew Cab 2010,89
346,10244,HUMMER H3T Crew Cab 2010,124
347,6835,Dodge Caliber Wagon 2007,82
348,10755,Hyundai Santa Fe SUV 2012,134
349,11095,Hyundai Elantra Sedan 2007,131
350,7797,Dodge Charger Sedan 2012,87
351,943,Audi RS 4 Convertible 2008,15
352,14924,Suzuki Kizashi Sedan 2012,181
353,9927,GMC Acadia SUV 2012,117
354,12989,Mazda Tribute SUV 2011,158
355,9253,Ford F-150 Regular Cab 2012,109
356,13604,Mercedes-Benz Sprinter Van 2012,165
357,9198,Ford GT Coupe 2006,114
358,10366,Honda Odyssey Minivan 2012,128
359,8308,Ferrari California Convertible 2012,102
360,6971,Dodge Ram Pickup 3500 Crew Cab 2010,94
361,7029,Dodge Ram Pickup 3500 Crew Cab 2010,94
362,3421,Bentley Continental GT Coupe 2007,40
363,5922,Chevrolet Malibu Sedan 2007,64
364,9150,Ford GT Coupe 2006,114
365,13502,Mercedes-Benz S-Class Sedan 2012,163
366,7950,Dodge Charger SRT-8 2009,86
367,13107,McLaren MP4-12C Coupe 2012,159
368,2781,BMW M3 Coupe 2012,31
369,6410,Chrysler 300 SRT-8 2010,75
370,16106,smart fortwo Convertible 2012,195
371,7560,Dodge Challenger SRT8 2011,85
